"View blocked","Vezi blocate"
"View list","Vezi lista"
"View white list","Vezi white list"
"View watch list","Vezi watch list"
"Block ip classes","Blocheaza clasa ip"
"You can use * as a wildcard to block an entire IP class. Ex: 192.168.0.*","Puteti folosi * ca si wildcard pentru a bloca o clasa intreaga de ip-uri. Ex: 192.168.0.*"
"Block this ip","Blocheaza acest IP"
"Blocked ip classes","Clase de ip-uri blocate"
"Unblock","Deblocheaza"
"Unblock this ip","Deblocheaza acest ip"
"View visitor list","Vezi lista vizitatorilor"
"Block IP classes or single IP","Blocheaza o clasa de ip-uri sau un singur ip"
"Count","Vizite"
"IP address","Adresa IP"
"View","Vezi"
"Notes","Note"
"Block","Blocheaza"
"UnBlock","Deblocheaza"
"Whitelist","Whitelist"
"Remove white","Scoate din whitelist"
"Watchlist","Watchlist"
"Remove watch","Scoate din watchlist"
"First visit Time","Prima vizita"
"Last visit Time","Ultima vizita"
"From","De la"
"To","Pana"
"Last url","Ultimul url"
"Visitors ip list","Lista ip-uri vizitatori"
"Blocked ip list","Lista ip-uri blocate"
"White list","Lista ip-uri permise"
"Watch list","Lista ip-uri supravegheate"
"is allready blocked","este deja blocat"
"Ip field cannot be empty!","Campul ip nu poate fi gol!"
"IP ","IP-ul "
" is in whitelist"," este in white list"
" is allready blocked"," este deja blocat"
" was unblocked"," a fost deblocat"
